텍스트,감정
"난생 처음 남매여행, --투어 대만족이네여",행복
"호주 해변들은 다 예쁘다 강한 해 덕분에 수영하고 샤워하면 15분만에 머리가 다 마르는 매쥑",행복
"너무 예뻤던 본다이아이스버그",행복
"제일 좋았던 곳 보고 또 보고 5주 미국 끝",행복
"마음을 들키는 게 겁이 나",슬픔
"점점 마음을 숨기는 습관이 생겼어",슬픔
"그랬던 걸까",슬픔
"진짜 공감 너무 슬프다",슬픔
"너는 이러지마 진짜",슬픔
"위로가 필요한 친구에게 보여주세요",슬픔
"엉 따흑따 흑따흑따흑",슬픔
"친절함에 보답을 못해줄 망정 나의 친절함이 후회가 생기게 하는 사람과의 관계는 빨리 끊어버리세요",슬픔
"귀여웤ㅋㅋㅋㅋㅋㅋㅋㅋ",행복
"행복한 미소 좀 봐",행복
"덤벼라 세상아",분노
"분노의 4가지 유형",분노
"매우 화남",분노
"꼴랑 6초",분노
"분노한 프랑스 제빵사",분노
"더러운 성씨 탑5 알려드림",분노
"천둥 소리 같았어",분노
"욕처럼 들리는 해외언어",분노
"가끔은 누군가를 물어뜯고 싶어",분노
"이것만은 꺼내지 않으려고 했는데",분노
"성숙한 사람은 짜증내는 것도 다른 사람과 다릅니다.",분노
"남친이랑 커플링을 마줘야하는 이유",행복
"아니 도라에몽 주먹만 되는 거 아니었냐고",놀람
"와 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ",놀람
"축하드려요",놀람
"진짜 였네",놀람
"대박ㅋㅋㅋㅋㅋㅋㅋㅋ",놀람
"이웃집 아저씨 큰일날 뻔 하셨고!ㅋㅋㅋㅋㅋㅋㅋㅋ",놀람
"어우 소름 쫙돋으무ㅜㅜㅜㅜㅜ",놀람
"ㅋㅋㅋㅋㅋ신기하네",놀람
"헐 이게 뭐야..ㄷㄷㄷㄷㄷㄷㄷ",놀람
"세상 놀랍고 신기한 종의 세계",놀람
"역시 바퀴벌레가 지금까지 살아남은 이유가 있었구만",놀람
"아이 뿐만아니라 가족을 구했네ㅠㅠ",놀람
"아니 아이를 아기띠메고 나가면 되잖아,,집에서 기다려도되잖아...",놀람
"상황 설명 부터해야죠;;ㅋㅋㅋㅋㅋㅋㅋ",놀람
"어머나",놀람
"가능성있어서 놀랬넼ㅋㅋㅋ",놀람
"ㅋㅋㅋㅋㅋ표정 기여워 ㅋㅋㅋㅋㅋ",놀람
"진짜 뭔 일인가 싶겠네 ㅋㅋㅋㅋ",놀람
"서로 ㅋㅋㅋㅋㅋㅋㅋ",놀람
"분노는 결국 내 안에서 표출된 만큼 부메랑이 되어 나에게 다시 돌아옵니다.",분노
"이것만은 꺼내지 않으려고 했는데...",분노
"내지도 참지도 말아야되면 우째야 됔ㅋㅋㅋㅋ",분노
"욱하는 사람은 비웃어주세요",분노
"헐..화를 많이 내면 일찍 죽는대",분노
"가라! 지옥으로!",분노
"와..이건 아니지",분노
"당신의 분노 유형은?",분노
"화라는 감정을 다스려야만 하는 이유",분노
"은근슬쩍 욕하는법",분노
"혼난 루이 위로하는 후이ㅠㅠ",분노
"다른 팀원보고 분노한 쏘니...이런 모습 처음",분노
"상황별로 하면 안되는 것",분노
"분노로 시작 된 모든 것들은 결국, 수치스럽게 끝나기 마련이다",분노
"분노하는 포인트 골라보기",분노
"개빡칠때 진정하는법",분노
"냉면 시켰는데 사장님 태도 때문에 싸웠어요 제가 진상인가요?",분노
"오스카 시상식에서 엠마스톤의 노골적인 양자경 패신논란",분노
"삶이 벅차고 힘들면 통증을 껴안아 줄 서랍 하나 마련해봐라",분노
"화났을 때 현명한 대처법",분노
"눈물 많은 울보 특징",분노
"스트레스 심할 때 나타나는 신호",분노
"휴일 전날은 기부니가 조아조아",행복
"결혼 축하해주신 모든 분들 너무너무 감사드립니다",행복
"불금",행복
"또 오자구나",행복
"오늘하루도 수고많았던 우리들!",행복
"투톤 장미 너무 이쁘잖아",행복
"오갓!! 유명 헤어샵에서 금일 협찬제의가 왔다리",행복
"사랑이 이름 생겼어요",행복
"넌 나의 행복",행복